adult,genre_ids,id,original_language,popularity,release_date,title,video,vote_average,vote_count
FALSE,"[28, 53, 27]",514847,en,51.965,11-03-2020,The Hunt,FALSE,6.651,2905
FALSE,"[12, 14]",68737,en,51.956,12-12-2014,Seventh Son,FALSE,5.496,2374
FALSE,[35],252838,en,51.954,16-01-2015,The Wedding Ringer,FALSE,6.488,1498
FALSE,"[10749, 35]",621,en,51.928,07-07-1978,Grease,FALSE,7.4,6820
FALSE,"[28, 12, 53]",138103,en,51.925,07-08-2014,The Expendables 3,FALSE,6.23,4700
FALSE,"[36, 10752, 18, 12]",967,en,51.919,13-10-1960,Spartacus,FALSE,7.5,1974
FALSE,"[27, 12, 28]",7131,en,51.891,03-05-2004,Van Helsing,FALSE,6.329,5491
FALSE,"[16, 12, 35, 10751]",172385,en,51.878,19-03-2014,Rio 2,FALSE,6.502,3261
FALSE,"[53, 9648, 878]",51876,en,51.861,08-03-2011,Limitless,FALSE,7.189,10025
FALSE,"[53, 80, 9648]",65754,en,51.815,14-12-2011,The Girl with the Dragon Tattoo,FALSE,7.4,6568
FALSE,"[53, 28, 80]",38700,en,51.809,15-01-2020,Bad Boys for Life,FALSE,7.138,7630
FALSE,"[27, 9648]",338947,en,51.8,28-09-2022,Hellraiser,FALSE,6.256,677
FALSE,"[16, 28, 878]",39108,ja,51.792,15-07-1995,Dragon Ball Z: Wrath of the Dragon,FALSE,7.238,647
FALSE,"[28, 53]",1572,en,51.792,19-05-1995,Die Hard: With a Vengeance,FALSE,7.256,5681
FALSE,"[16, 10770, 14, 28]",755812,fr,51.787,18-12-2020,"Miraculous World: New York, United HeroeZ",FALSE,8.147,1035
FALSE,"[28, 878]",875279,zh,51.783,13-10-2022,VR Fighter,FALSE,5.4,20
FALSE,"[35, 878, 28]",479455,en,51.746,12-06-2019,Men in Black: International,FALSE,5.931,4539
FALSE,"[10749, 18]",222935,en,51.706,16-05-2014,The Fault in Our Stars,FALSE,7.598,10728
FALSE,"[16, 14, 28]",118406,ja,51.666,28-07-2012,Road to Ninja: Naruto the Movie,FALSE,7.6,919
FALSE,"[18, 80]",311,en,51.64,23-05-1984,Once Upon a Time in America,FALSE,8.427,4973
FALSE,"[18, 878]",83542,en,51.626,26-10-2012,Cloud Atlas,FALSE,6.9,6732
FALSE,"[53, 28, 14]",1250,en,51.613,15-01-2007,Ghost Rider,FALSE,5.552,5554
FALSE,"[28, 53, 18]",1620,en,51.598,21-11-2007,Hitman,FALSE,6.098,3060
FALSE,"[27, 878]",667216,en,51.569,27-01-2023,Infinity Pool,FALSE,6.1,494
FALSE,"[12, 14, 28]",32985,en,51.569,16-09-2009,Solomon Kane,FALSE,5.962,1287
FALSE,"[10770, 35, 10749, 14]",971511,en,51.556,11-12-2022,Must Love Christmas,FALSE,5.7,10
FALSE,"[28, 53]",36955,en,51.542,15-07-1994,True Lies,FALSE,7.1,3741
FALSE,"[35, 10749]",8273,en,51.496,01-08-2003,American Wedding,FALSE,6.207,3835
FALSE,"[37, 28, 18]",759584,en,64.806,02-04-2023,Surrounded,FALSE,6.4,42
FALSE,"[80, 18, 9648, 53]",829,en,54.808,20-06-1974,Chinatown,FALSE,7.918,3502
FALSE,"[28, 53, 9648]",225574,en,41.961,26-02-2014,Non-Stop,FALSE,6.812,5065
FALSE,"[28, 12, 18]",290595,en,60.212,06-04-2016,The Huntsman: Winter's War,FALSE,6.289,4611
FALSE,"[10770, 35, 10749]",971503,en,61.382,12-11-2022,A Merry Christmas Wish,FALSE,6.1,21
FALSE,"[12, 28, 53]",956,en,60.905,25-04-2006,Mission: Impossible III,FALSE,6.726,6308
FALSE,"[10749, 27]",6114,en,47.851,13-11-1992,Bram Stoker's Dracula,FALSE,7.452,4720
FALSE,"[28, 80]",23483,en,58.451,22-03-2010,Kick-Ass,FALSE,7.122,11102
FALSE,"[27, 9648]",270303,en,68.104,04-02-2015,It Follows,FALSE,6.566,5979
FALSE,"[10751, 35, 14, 12]",938030,it,55.14,24-11-2023,Elf Me,FALSE,5.802,48
FALSE,"[28, 53, 10752]",7555,en,57.934,24-01-2008,Rambo,FALSE,6.7,3627
FALSE,"[28, 12, 35, 878]",607,en,60.332,02-07-1997,Men in Black,FALSE,7.188,12977
FALSE,"[35, 27, 14]",928,en,42.928,15-06-1990,Gremlins 2: The New Batch,FALSE,6.39,2334
FALSE,"[16, 10751]",10895,en,58.927,23-02-1940,Pinocchio,FALSE,7.105,5497
FALSE,"[16, 10751, 12, 35, 14]",137106,en,43.879,06-02-2014,The Lego Movie,FALSE,7.418,7331
FALSE,[18],945675,zh,53.958,18-06-2022,One Week Friends,FALSE,5.7,112
FALSE,"[16, 10751]",1166714,en,58.044,01-10-2023,Mickey and Friends: Trick or Treats,FALSE,7.1,29
FALSE,"[14, 28]",8960,en,69.67,01-07-2008,Hancock,FALSE,6.344,9069
FALSE,"[12, 28, 878]",1891,en,56.083,20-05-1980,The Empire Strikes Back,FALSE,8.39,15985
FALSE,"[18, 9648, 37]",273248,en,48.219,25-12-2015,The Hateful Eight,FALSE,7.75,13431
FALSE,"[28, 12, 878]",49529,en,51.09,07-03-2012,John Carter,FALSE,6.306,5291
FALSE,"[878, 10751, 28, 35]",939243,en,51.058,18-12-2024,Sonic the Hedgehog 3,FALSE,0,0
FALSE,[35],419680,en,51.056,09-11-2017,Daddy's Home 2,FALSE,6.287,2387
FALSE,"[28, 35, 878]",41154,en,51.051,23-05-2012,Men in Black 3,FALSE,6.515,9777
