movie_title,genre_names,genre_ids
Mega Lightning,"Action, Horror, Science Fiction","28, 27, 878"
It's a Wonderful Knife,"Horror, Thriller, Comedy","27, 53, 35"
Kung Fu Panda 2,"Animation, Family, Comedy","16, 10751, 35"
Harry Potter and the Philosopher's Stone,"Adventure, Fantasy","12, 14"
Nowhere,"Thriller, Drama","53, 18"
The Little Mermaid,"Adventure, Family, Fantasy, Romance","12, 10751, 14, 10749"
Lamborghini: The Man Behind the Legend,"Drama, History","18, 36"
Hell House LLC Origins: The Carmichael Manor,"Horror, Mystery","27, 9648"
Godzilla vs. Kong,"Action, Science Fiction, Thriller","28, 878, 53"
After Everything,"Romance, Drama","10749, 18"
V/H/S/85,"Horror, Thriller, Fantasy, Science Fiction, Crime, Mystery","27, 53, 14, 878, 80, 9648"
Logan,"Action, Drama, Science Fiction","28, 18, 878"
The Equalizer,"Thriller, Action, Crime","53, 28, 80"
Godzilla: King of the Monsters,"Science Fiction, Action","878, 28"
Babylon A.D.,"Action, Adventure, Science Fiction, Thriller","28, 12, 878, 53"
The Monkey King: Reborn,"Animation, Action, Fantasy, Family","16, 28, 14, 10751"
Elijo creer,Documentary,99
Godzilla x Kong: The New Empire,"Action, Science Fiction, Adventure","28, 878, 12"
Teenage Mutant Ninja Turtles: Mutant Mayhem,"Animation, Comedy, Action, Science Fiction","16, 35, 28, 878"
Mr. Monk's Last Case: A Monk Movie,"Mystery, Comedy, Crime","9648, 35, 80"
Alien: Covenant,"Science Fiction, Horror, Mystery","878, 27, 9648"
Blood Widow,Horror,27
The Lord of the Rings: The Fellowship of the Ring,"Adventure, Fantasy, Action","12, 14, 28"
Family Switch,"Comedy, Fantasy, Family","35, 14, 10751"
Rebel Moon - Part One: A Child of Fire,"Action, Science Fiction, Adventure, Fantasy","28, 878, 12, 14"
Avengers: Infinity War,"Adventure, Action, Science Fiction","12, 28, 878"
Goodbye Monster,"Animation, Fantasy, Adventure","16, 14, 12"
Kung Fu Panda 4,"Action, Adventure, Animation, Comedy, Family","28, 12, 16, 35, 10751"
Muzzle,"Action, Crime, Drama, Thriller","28, 80, 18, 53"
Kung Fu Panda 3,"Action, Adventure, Animation, Comedy, Family","28, 12, 16, 35, 10751"
Iké Boys,"Fantasy, Adventure","14, 12"
Thor: Ragnarok,"Action, Adventure, Science Fiction","28, 12, 878"
Justice League,"Action, Adventure, Science Fiction","28, 12, 878"
Inside Out,"Animation, Family, Adventure, Drama, Comedy","16, 10751, 12, 18, 35"
Higop,Romance,10749
Thriller Night,Animation,16
The Last Voyage of the Demeter,"Thriller, Horror","53, 27"
The Godfather,"Drama, Crime","18, 80"
Radical,Drama,18
Encanto,"Animation, Comedy, Family, Fantasy","16, 35, 10751, 14"
Aragne: Sign of Vermillion,"Animation, Horror, Mystery, Fantasy","16, 27, 9648, 14"
Harry Potter and the Deathly Hallows: Part 2,"Fantasy, Adventure","14, 12"
Meteor Storm,"Science Fiction, Adventure, TV Movie","878, 12, 10770"
Chicken Run,"Animation, Comedy, Family","16, 35, 10751"
The Survivor,"History, Action, Drama","36, 28, 18"
Big Tit Monastery,,
Black Adam,"Action, Adventure, Science Fiction","28, 12, 878"
Star Wars: The Last Jedi,"Adventure, Action, Science Fiction","12, 28, 878"
The Velveteen Rabbit,"Animation, Family, Fantasy","16, 10751, 14"
Batman v Superman: Dawn of Justice,"Action, Adventure, Fantasy","28, 12, 14"
Big Hero 6,"Adventure, Family, Animation, Action, Comedy","12, 10751, 16, 28, 35"
Harry Potter and the Chamber of Secrets,"Adventure, Fantasy","12, 14"
Sonic the Hedgehog 2,"Action, Adventure, Family, Comedy","28, 12, 10751, 35"
Denard: Anatomy of an Antihero,Action,28
The Batman,"Crime, Mystery, Thriller","80, 9648, 53"
Black Panther: Wakanda Forever,"Action, Adventure, Science Fiction","28, 12, 878"
Inside Out 2,"Animation, Family, Drama, Comedy","16, 10751, 18, 35"
The Family Plan,"Action, Comedy","28, 35"
Carl's Date,"Animation, Adventure, Family","16, 12, 10751"
The Hunger Games: Mockingjay - Part 1,"Science Fiction, Adventure, Thriller","878, 12, 53"
Top Gun: Maverick,"Action, Drama","28, 18"
Avatar,"Action, Adventure, Fantasy, Science Fiction","28, 12, 14, 878"
Hotel Transylvania: Transformania,"Animation, Comedy, Family, Adventure, Fantasy","16, 35, 10751, 12, 14"
Harry Potter and the Goblet of Fire,"Adventure, Fantasy","12, 14"
The Wandering Earth II,"Science Fiction, Action, Drama","878, 28, 18"
Interstellar,"Adventure, Drama, Science Fiction","12, 18, 878"
Garfield,"Animation, Comedy, Family","16, 35, 10751"
"Miraculous: Ladybug & Cat Noir, The Movie","Animation, Fantasy, Action, Romance, Family","16, 14, 28, 10749, 10751"
"Ruby Gillman, Teenage Kraken","Animation, Family, Fantasy, Comedy","16, 10751, 14, 35"
Harry Potter and the Order of the Phoenix,"Adventure, Fantasy","12, 14"
Zack Snyder's Justice League,"Action, Adventure, Fantasy","28, 12, 14"
Violent Night,"Action, Comedy, Thriller","28, 35, 53"
Hypnotic,"Mystery, Thriller, Action, Science Fiction","9648, 53, 28, 878"
A Christmas Carol,"Animation, Family, Fantasy","16, 10751, 14"
A Haunting in Venice,"Mystery, Thriller, Crime","9648, 53, 80"
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe","Adventure, Family, Fantasy","12, 10751, 14"
Titanic,"Drama, Romance","18, 10749"
Dating Santa,"Drama, Comedy, Romance","18, 35, 10749"
Godzilla,"Action, Drama, Science Fiction","28, 18, 878"
National Lampoon's Christmas Vacation,Comedy,35
Venom: Let There Be Carnage,"Science Fiction, Action, Adventure","878, 28, 12"
White Sky,"Science Fiction, Horror","878, 27"
Coco,"Family, Animation, Fantasy, Music, Comedy, Adventure","10751, 16, 14, 10402, 35, 12"
Harry Potter and the Prisoner of Azkaban,"Adventure, Fantasy","12, 14"
The Feast of Amrita,"Animation, Mystery, Fantasy, Horror","16, 9648, 14, 27"
No Time to Die,"Action, Adventure, Thriller","28, 12, 53"
Texas Chainsaw 3D,"Horror, Thriller","27, 53"
Believer 2,"Crime, Action, Thriller","80, 28, 53"
One Piece: Episode of Skypiea,"Animation, Action, Adventure, Comedy","16, 28, 12, 35"
Alien,"Horror, Science Fiction","27, 878"
Boudica,"Action, War","28, 10752"
After,"Romance, Drama","10749, 18"
Jurassic World Dominion,"Adventure, Action, Science Fiction","12, 28, 878"
The Avengers,"Science Fiction, Action, Adventure","878, 28, 12"
The Hunger Games: Catching Fire,"Adventure, Action, Science Fiction","12, 28, 878"
It's a Wonderful Life,"Drama, Family, Fantasy","18, 10751, 14"
The Shawshank Redemption,"Drama, Crime","18, 80"
Spider-Man: Homecoming,"Action, Adventure, Science Fiction, Drama","28, 12, 878, 18"
Extraction 2,"Action, Thriller","28, 53"
Ant-Man and the Wasp: Quantumania,"Action, Adventure, Science Fiction","28, 12, 878"
The Boy and the Heron,"Animation, Adventure, Fantasy, Drama","16, 12, 14, 18"
Room in Rome,"Drama, Romance","18, 10749"
Creed III,"Drama, Action","18, 28"
More Than Ever,Drama,18
Rally Road Racers,"Animation, Family, Comedy","16, 10751, 35"
Dungeons & Dragons: Honor Among Thieves,"Adventure, Fantasy, Comedy","12, 14, 35"
Shrek,"Animation, Comedy, Fantasy, Adventure, Family","16, 35, 14, 12, 10751"
Night Train,"Action, Thriller, Crime","28, 53, 80"
Doctor Strange in the Multiverse of Madness,"Fantasy, Action, Adventure","14, 28, 12"
Pure Imagination: The Story of 'Willy Wonka & the Chocolate Factory',"Documentary, Fantasy","99, 14"
The Mongolian Connection,Action,28
The Fishbowl,Drama,18
Thanksgiving,"Horror, Thriller, Mystery","27, 53, 9648"
Kandahar,"Action, Thriller","28, 53"
The Killer,"Crime, Thriller","80, 53"
The Lorax,"Animation, Family","16, 10751"
The Dark Knight,"Drama, Action, Crime, Thriller","18, 28, 80, 53"
Frozen II,"Family, Animation, Adventure, Comedy, Fantasy","10751, 16, 12, 35, 14"
Shazam! Fury of the Gods,"Comedy, Action, Fantasy","35, 28, 14"
The Suicide Squad,"Action, Comedy, Adventure","28, 35, 12"
Twilight,"Fantasy, Drama, Romance","14, 18, 10749"
Mad Max: Fury Road,"Action, Adventure, Science Fiction","28, 12, 878"
Aquaman,"Action, Adventure, Fantasy","28, 12, 14"
John Wick: Chapter 3 - Parabellum,"Action, Thriller, Crime","28, 53, 80"
Star Wars,"Adventure, Action, Science Fiction","12, 28, 878"
Up,"Animation, Comedy, Family, Adventure","16, 35, 10751, 12"
X,"Horror, Thriller, Mystery","27, 53, 9648"
Luck,"Animation, Adventure, Comedy, Fantasy","16, 12, 35, 14"
Jujutsu Kaisen 0,"Animation, Action, Fantasy","16, 28, 14"
The Night Crew,"Thriller, Action, Mystery","53, 28, 9648"
Sisu,"Action, War, Horror","28, 10752, 27"
Star Wars: The Force Awakens,"Adventure, Action, Science Fiction","12, 28, 878"
No Hard Feelings,"Comedy, Romance","35, 10749"
John Wick: Chapter 2,"Action, Thriller, Crime","28, 53, 80"
How to Train Your Dragon: The Hidden World,"Animation, Family, Adventure","16, 10751, 12"
Harry Potter and the Half-Blood Prince,"Adventure, Fantasy","12, 14"
Tomorrowland,"Adventure, Family, Mystery, Science Fiction","12, 10751, 9648, 878"
Aliens,"Action, Thriller, Science Fiction","28, 53, 878"
Evil Dead Rise,"Horror, Thriller","27, 53"
There's Something in the Barn,"Comedy, Horror, Fantasy","35, 27, 14"
Turning Red,"Animation, Family, Comedy, Fantasy","16, 10751, 35, 14"
Frozen,"Animation, Family, Adventure, Fantasy","16, 10751, 12, 14"
Heart of Stone,"Thriller, Action","53, 28"
Inception,"Action, Science Fiction, Adventure","28, 878, 12"
Megaboa,"Action, Horror, Science Fiction","28, 27, 878"
Rascal Does Not Dream of a Sister Venturing Out,"Animation, Drama","16, 18"
Animal,"Action, Crime, Drama","28, 80, 18"
Saltburn,"Comedy, Drama, Thriller","35, 18, 53"
Cat Person,"Comedy, Thriller","35, 53"
Heroic,"Drama, Thriller","18, 53"
Merry Swissmas,"TV Movie, Comedy, Romance","10770, 35, 10749"
Thor: Love and Thunder,"Fantasy, Action, Comedy","14, 28, 35"
Harry Potter and the Deathly Hallows: Part 1,"Adventure, Fantasy","12, 14"
The Elevator,Horror,27
Krampus: The Devil Returns,"Thriller, Action, Horror","53, 28, 27"
Deadpool,"Action, Adventure, Comedy","28, 12, 35"
The Handmaiden,"Thriller, Drama, Romance","53, 18, 10749"
The Lake,"Horror, Science Fiction, Thriller","27, 878, 53"
Ballerina,"Action, Crime, Thriller","28, 80, 53"
Fury,"War, Drama, Action","10752, 18, 28"
Guy Ritchie's The Covenant,"War, Action, Thriller","10752, 28, 53"
xXx: Return of Xander Cage,"Action, Adventure, Crime","28, 12, 80"
