movie_title,genre_names,genre_ids
Tangled,"Animation, Family","16, 10751"
Captain America: Civil War,"Adventure, Action, Science Fiction","12, 28, 878"
The Devil Wears Prada,"Comedy, Drama, Romance","35, 18, 10749"
The Matrix,"Action, Science Fiction","28, 878"
Strays,"Comedy, Adventure","35, 12"
365 Days: This Day,"Romance, Drama","10749, 18"
Everything Everywhere All at Once,"Action, Adventure, Science Fiction","28, 12, 878"
The Amazing Spider-Man 2,"Action, Adventure, Fantasy","28, 12, 14"
Captain Marvel,"Action, Adventure, Science Fiction","28, 12, 878"
The Boss Baby: Family Business,"Animation, Comedy, Adventure, Family","16, 35, 12, 10751"
A Beautiful Mind,"Drama, Romance","18, 10749"
Hidden Figures,"Drama, History","18, 36"
Finding Nemo,"Animation, Family","16, 10751"
Spectre,"Action, Adventure, Thriller","28, 12, 53"
Insurgent,"Action, Adventure, Science Fiction, Thriller","28, 12, 878, 53"
The Engineer,"Action, Thriller","28, 53"
The Conference,"Horror, Comedy, Thriller","27, 35, 53"
Trolls World Tour,"Family, Animation, Comedy, Fantasy, Adventure, Music","10751, 16, 35, 14, 12, 10402"
Good Will Hunting,Drama,18
The Amazing Spider-Man,"Action, Adventure, Fantasy","28, 12, 14"
Raiders of the Lost Library,"Action, Adventure","28, 12"
Cocaine Bear,"Thriller, Comedy, Crime","53, 35, 80"
Avengers: Age of Ultron,"Action, Adventure, Science Fiction","28, 12, 878"
Home Alone 3,"Comedy, Family","35, 10751"
All Souls,"Crime, Drama, Thriller","80, 18, 53"
Suzume,"Animation, Drama, Adventure, Fantasy","16, 18, 12, 14"
The Key,"Drama, Romance","18, 10749"
The Deep Ones,"Horror, Science Fiction","27, 878"
Toy Story 4,"Family, Adventure, Animation, Comedy, Fantasy","10751, 12, 16, 35, 14"
RDX: Robert Dony Xavier,"Action, Drama","28, 18"
Warhorse One,"Action, Drama, War","28, 18, 10752"
Wrath of the Titans,"Fantasy, Adventure","14, 12"
WALL·E,"Animation, Family, Science Fiction","16, 10751, 878"
Power Rangers,"Action, Adventure, Science Fiction","28, 12, 878"
Mission: Impossible - Fallout,"Action, Adventure","28, 12"
Knives Out,"Comedy, Crime, Mystery","35, 80, 9648"
The Woman King,"Action, Drama, History","28, 18, 36"
Silver and the Book of Dreams,"Fantasy, Science Fiction, Romance","14, 878, 10749"
Black Butler: Book of Murder,"Mystery, Animation, Adventure","9648, 16, 12"
Renegades,"Action, Crime, Thriller","28, 80, 53"
Demon Slayer: Kimetsu no Yaiba Sibling's Bond,"Action, Animation, Fantasy","28, 16, 14"
Jingle All the Way,"Family, Comedy, Adventure","10751, 35, 12"
Jurassic World,"Action, Adventure, Science Fiction, Thriller","28, 12, 878, 53"
Operation Napoleon,Thriller,53
The Nun,"Horror, Mystery, Thriller","27, 9648, 53"
65,"Science Fiction, Action, Adventure","878, 28, 12"
Kong: Skull Island,"Action, Adventure, Fantasy","28, 12, 14"
Nightcrawler,"Crime, Drama, Thriller","80, 18, 53"
Gone Girl,"Mystery, Thriller, Drama","9648, 53, 18"
Demon Slayer -Kimetsu no Yaiba- The Movie: Mugen Train,"Action, Animation, Adventure, Fantasy, Thriller","28, 16, 12, 14, 53"
White Chicks,"Comedy, Crime","35, 80"
Priscilla,"Drama, Romance","18, 10749"
The Ritual Killer,"Mystery, Thriller, Action, Drama","9648, 53, 28, 18"
Madagascar,"Family, Animation, Adventure, Comedy","10751, 16, 12, 35"
Below Her Mouth,"Drama, Romance","18, 10749"
Terminator 2: Judgment Day,"Action, Thriller, Science Fiction","28, 53, 878"
Jurassic World: Fallen Kingdom,"Action, Adventure, Science Fiction, Thriller","28, 12, 878, 53"
Ocean's Eight,"Crime, Comedy, Action","80, 35, 28"
The Hobbit: An Unexpected Journey,"Adventure, Fantasy, Action","12, 14, 28"
Umma,"Horror, Mystery","27, 9648"
Nobody,"Action, Thriller","28, 53"
Elf,"Comedy, Family, Fantasy","35, 10751, 14"
Howl's Moving Castle,"Fantasy, Animation, Adventure","14, 16, 12"
Beauty and the Beast,"Romance, Family, Animation, Fantasy","10749, 10751, 16, 14"
How the Grinch Stole Christmas!,"Animation, Family, Comedy","16, 10751, 35"
Brave,"Animation, Adventure, Comedy, Family, Action, Fantasy","16, 12, 35, 10751, 28, 14"
Tarzan,"Family, Adventure, Animation, Drama","10751, 12, 16, 18"
Back to the Future,"Adventure, Comedy, Science Fiction","12, 35, 878"
Your Name.,"Romance, Animation, Drama","10749, 16, 18"
Hercules,"Animation, Family, Fantasy, Adventure, Comedy, Romance","16, 10751, 14, 12, 35, 10749"
M3GAN,"Science Fiction, Horror","878, 27"
Self/less,"Science Fiction, Mystery, Thriller, Action","878, 9648, 53, 28"
The Whale,Drama,18
Iron Man 3,"Action, Adventure, Science Fiction","28, 12, 878"
Knuckle Girl,"Action, Drama","28, 18"
Silent Night,"Action, Crime","28, 80"
Cinderella,"Romance, Fantasy, Family, Drama","10749, 14, 10751, 18"
Terror on the Prairie,"Western, Action, Thriller","37, 28, 53"
The Twilight Saga: Eclipse,"Adventure, Fantasy, Drama, Romance","12, 14, 18, 10749"
The Incredibles,"Action, Adventure, Animation, Family","28, 12, 16, 10751"
Home Alone 4,"Comedy, Family, TV Movie","35, 10751, 10770"
Trolls,"Family, Animation, Fantasy, Adventure, Comedy, Music","10751, 16, 14, 12, 35, 10402"
The Unlikely Pilgrimage of Harold Fry,Drama,18
Godzilla: The Planet Eater,"Animation, Science Fiction, Action, Adventure","16, 878, 28, 12"
Bullet Train,"Action, Comedy, Thriller","28, 35, 53"
Soulcatcher,"Action, Adventure, Thriller","28, 12, 53"
The Martian,"Drama, Adventure, Science Fiction","18, 12, 878"
The Emperor's New Groove,"Adventure, Animation, Comedy, Family, Fantasy","12, 16, 35, 10751, 14"
Eternals,"Science Fiction, Action, Adventure","878, 28, 12"
Black Panther,"Action, Adventure, Science Fiction","28, 12, 878"
Ice Age: Dawn of the Dinosaurs,"Animation, Comedy, Family, Adventure","16, 35, 10751, 12"
Free Guy,"Comedy, Adventure, Science Fiction","35, 12, 878"
Sanctuary,Thriller,53
Emmanuelle 6,"Drama, Romance","18, 10749"
Pacific Rim,"Action, Science Fiction, Adventure","28, 878, 12"
Exodus: Gods and Kings,"Adventure, Drama, Action","12, 18, 28"
World War Z,"Action, Drama, Horror, Science Fiction, Thriller","28, 18, 27, 878, 53"
The Pope's Exorcist,"Horror, Thriller","27, 53"
Monsters University,"Animation, Family","16, 10751"
Sniper: G.R.I.T. - Global Response & Intelligence Team,"Action, Thriller","28, 53"
True Romance,"Action, Crime, Romance","28, 80, 10749"
The Godfather Part II,"Drama, Crime","18, 80"
"Miraculous World: Paris, Tales of Shadybug and Claw Noir","Animation, Adventure, Action, Fantasy, Family","16, 12, 28, 14, 10751"
The Conjuring,"Horror, Thriller","27, 53"
xXx,"Action, Adventure, Thriller","28, 12, 53"
Thor: The Dark World,"Action, Adventure, Fantasy","28, 12, 14"
Guardians of the Galaxy Vol. 2,"Science Fiction, Adventure, Action","878, 12, 28"
NAGA,"Thriller, Comedy","53, 35"
The Princess and the Frog,"Romance, Family, Animation","10749, 10751, 16"
Aquaman: Heroines of Atlantis,Documentary,99
Spider-Man 3,"Fantasy, Action, Adventure","14, 28, 12"
To Her,"Drama, Romance","18, 10749"
The Imitation Game,"History, Drama, Thriller, War","36, 18, 53, 10752"
Scream,"Horror, Mystery, Thriller","27, 9648, 53"
The Black Book,"Mystery, Thriller, Action","9648, 53, 28"
The Christmas Chronicles: Part Two,"Family, Fantasy, Adventure, Comedy","10751, 14, 12, 35"
Fight Club,Drama,18
The Other Zoey,"Romance, Drama, Comedy","10749, 18, 35"
Society of the Snow,"Drama, History","18, 36"
Inglourious Basterds,"Drama, Thriller, War","18, 53, 10752"
Revenge Porn: PAIN OF LOVE,"Romance, Drama","10749, 18"
Baywatch,"Comedy, Action, Crime","35, 28, 80"
Megalomaniac,"Horror, Mystery, Thriller","27, 9648, 53"
The Twilight Saga: Breaking Dawn - Part 2,"Adventure, Fantasy, Drama, Romance","12, 14, 18, 10749"
F9,"Action, Adventure, Crime","28, 12, 80"
Troll,"Fantasy, Action, Adventure","14, 28, 12"
War of the Worlds : The Attack,"Science Fiction, Mystery, Thriller","878, 9648, 53"
The Boss Baby: Christmas Bonus,"Animation, Family, Adventure","16, 10751, 12"
Pride & Prejudice,"Drama, Romance","18, 10749"
Percy Jackson & the Olympians: The Lightning Thief,"Adventure, Fantasy, Family","12, 14, 10751"
Aladdin,"Adventure, Fantasy, Romance, Family","12, 14, 10749, 10751"
Underwater,"Horror, Science Fiction, Action, Adventure","27, 878, 28, 12"
Red Notice,"Action, Comedy, Crime","28, 35, 80"
Mean Girls,Comedy,35
Journey to Bethlehem,"Drama, Family, Fantasy","18, 10751, 14"
Redeeming Love,"Romance, Drama, Western","10749, 18, 37"
Tenet,"Action, Thriller, Science Fiction","28, 53, 878"
Welcome al Norte,Comedy,35
Past Lives,"Drama, Romance","18, 10749"
Once Upon a Studio,"Animation, Family, Fantasy, Comedy","16, 10751, 14, 35"
Dragon Ball Z: Bardock - The Father of Goku,"Animation, Action, Science Fiction, Drama, Fantasy","16, 28, 878, 18, 14"
The Notebook,"Romance, Drama","10749, 18"
Lair,Horror,27
Cinderella,"Family, Fantasy, Animation, Romance","10751, 14, 16, 10749"
Sakra,"Action, Drama","28, 18"
Predator,"Science Fiction, Action, Adventure, Thriller","878, 28, 12, 53"
Hidden Strike,"Action, Adventure, Thriller, Comedy","28, 12, 53, 35"
Split,"Horror, Thriller","27, 53"
Sniper: The White Raven,"War, Action, Drama","10752, 28, 18"
Kingdom 3: The Flame of Fate,"Action, Adventure, War","28, 12, 10752"
The Twilight Saga: New Moon,"Adventure, Fantasy, Drama, Romance","12, 14, 18, 10749"
The Hobbit: The Desolation of Smaug,"Fantasy, Adventure, Action","14, 12, 28"
Uncharted,"Action, Adventure","28, 12"
The Twilight Saga: Breaking Dawn - Part 1,"Adventure, Fantasy, Romance","12, 14, 10749"
The Fallout,Drama,18
Mortal Kombat Legends: Scorpion's Revenge,"Animation, Action, Fantasy","16, 28, 14"
Corpse Bride,"Romance, Fantasy, Animation","10749, 14, 16"
Plane,"Action, Adventure, Thriller","28, 12, 53"
Urkel Saves Santa: The Movie!,"Animation, Family, Comedy","16, 10751, 35"
Wonder Woman,"Action, Adventure, Fantasy","28, 12, 14"
Saving Private Ryan,"Drama, History, War","18, 36, 10752"
The Ice Age Adventures of Buck Wild,"Animation, Comedy, Adventure, Family","16, 35, 12, 10751"
Superfast!,"Comedy, Action","35, 28"
Valerian and the City of a Thousand Planets,"Adventure, Science Fiction, Action","12, 878, 28"
Asteroid City,"Comedy, Drama","35, 18"
Baby Driver,"Action, Crime","28, 80"
The Green Mile,"Fantasy, Drama, Crime","14, 18, 80"
The Stairs,"Horror, Science Fiction","27, 878"
A Quiet Place Part II,"Science Fiction, Thriller, Horror","878, 53, 27"
The Matrix Resurrections,"Science Fiction, Action, Adventure","878, 28, 12"
Resurrected,"Horror, Science Fiction","27, 878"
Guillermo del Toro's Pinocchio,"Animation, Fantasy, Drama, Family","16, 14, 18, 10751"
Klaus,"Animation, Family, Adventure, Comedy, Fantasy","16, 10751, 12, 35, 14"
The Last Kingdom: Seven Kings Must Die,"Action, Adventure, War","28, 12, 10752"
The SpongeBob Movie: Sponge on the Run,"Family, Animation, Fantasy, Adventure, Comedy","10751, 16, 14, 12, 35"
Joy,"Drama, Comedy","18, 35"
Krampus Unleashed,Horror,27
Three Steps Above Heaven,"Romance, Drama","10749, 18"
2012,"Action, Adventure, Science Fiction","28, 12, 878"
Transformers: Age of Extinction,"Science Fiction, Action, Adventure","878, 28, 12"
Dragon Ball Super: Super Hero,"Animation, Science Fiction, Action","16, 878, 28"
It Chapter Two,"Horror, Fantasy","27, 14"
Gladiator,"Action, Drama, Adventure","28, 18, 12"
Project Wolf Hunting,"Action, Thriller, Horror, Crime","28, 53, 27, 80"
Schindler's List,"Drama, History, War","18, 36, 10752"
Hotel Transylvania,"Animation, Comedy, Family, Fantasy","16, 35, 10751, 14"
Pirates of the Caribbean: Dead Men Tell No Tales,"Adventure, Action, Fantasy","12, 28, 14"
Summer 1941,"Action, War","28, 10752"
Parasite,"Comedy, Thriller, Drama","35, 53, 18"
Gifted,"Drama, Comedy","18, 35"
Scary Movie,Comedy,35
"I, Robot","Action, Science Fiction","28, 878"
7 Days in Entebbe,"Thriller, Drama, Crime","53, 18, 80"
Despicable Me,"Family, Animation, Comedy","10751, 16, 35"
Grown Ups,Comedy,35
A Frozen Rooster,"Animation, Adventure, Comedy, Family","16, 12, 35, 10751"
Black Widow,"Action, Adventure, Science Fiction","28, 12, 878"
Through My Window,"Drama, Romance, Comedy","18, 10749, 35"
The Hunger Games,"Science Fiction, Adventure, Fantasy","878, 12, 14"
La peor de mis bodas 3,"Comedy, Romance","35, 10749"
Shutter Island,"Drama, Thriller, Mystery","18, 53, 9648"
Love Actually,"Comedy, Romance, Drama","35, 10749, 18"
"The Good, the Bad and the Ugly",Western,37
Thriller 40,"Documentary, Music","99, 10402"
Ford v Ferrari,"Drama, Action, History","18, 28, 36"
Catch Me If You Can,"Drama, Crime","18, 80"
Doctor Strange,"Action, Adventure, Fantasy","28, 12, 14"
Joker,"Crime, Thriller, Drama","80, 53, 18"
The Dark Knight Rises,"Action, Crime, Drama, Thriller","28, 80, 18, 53"
Shooter,"Action, Drama, Mystery, Thriller, Crime","28, 18, 9648, 53, 80"
The Equalizer 2,"Action, Thriller, Crime","28, 53, 80"
Operation Fortune: Ruse de Guerre,"Action, Thriller, Comedy","28, 53, 35"
Maleficent: Mistress of Evil,"Family, Fantasy, Adventure, Action","10751, 14, 12, 28"
Jack Reacher: Never Go Back,"Action, Thriller","28, 53"
Shazam!,"Action, Comedy, Fantasy","28, 35, 14"
Alita: Battle Angel,"Action, Science Fiction, Adventure","28, 878, 12"
The Wrath of Becky,"Action, Horror, Thriller","28, 27, 53"
The Christmas Chronicles,"Comedy, Adventure, Family, Fantasy","35, 12, 10751, 14"
Dragon Ball Z: Resurrection 'F',"Action, Animation, Science Fiction","28, 16, 878"
Maze Runner: The Scorch Trials,"Science Fiction, Action, Thriller, Adventure","878, 28, 53, 12"
Snake Eyes: G.I. Joe Origins,"Action, Adventure","28, 12"
The Meg,"Action, Science Fiction, Horror","28, 878, 27"
Scarface,"Action, Crime, Drama","28, 80, 18"
Oscenità,Drama,18
Morbius,"Action, Science Fiction, Fantasy","28, 878, 14"
The Proposal,"Comedy, Romance, Drama","35, 10749, 18"
Project X,Comedy,35
Mission: Impossible 8,"Action, Adventure, Thriller","28, 12, 53"
Space Jam: A New Legacy,"Family, Animation, Comedy, Science Fiction","10751, 16, 35, 878"
Venom,"Science Fiction, Action","878, 28"
Haunted Mansion,"Fantasy, Comedy, Horror, Family","14, 35, 27, 10751"
Grown Ups 2,Comedy,35
Jungle Cruise,"Action, Adventure, Fantasy","28, 12, 14"
Last Christmas,"Comedy, Romance","35, 10749"
The Mother,"Action, Thriller","28, 53"
All Quiet on the Western Front,"Drama, War","18, 10752"
Shadow Master,"Action, Fantasy, Thriller","28, 14, 53"
Ready Player One,"Adventure, Action, Science Fiction","12, 28, 878"
Beautiful Disaster,"Romance, Drama, Comedy","10749, 18, 35"
Desperation Road,"Thriller, Action, Crime, Drama","53, 28, 80, 18"
In the Land of Saints and Sinners,"Crime, Drama, Thriller","80, 18, 53"
Rommel,"Action, War, History, Drama","28, 10752, 36, 18"
The Bad Guys,"Animation, Action, Adventure, Crime, Comedy, Family","16, 28, 12, 80, 35, 10751"
Let Us In,"Science Fiction, Thriller, Horror","878, 53, 27"
Aladdin,"Animation, Family, Adventure, Fantasy, Romance","16, 10751, 12, 14, 10749"
Detective Conan: Black Iron Submarine,"Animation, Action, Crime, Mystery","16, 28, 80, 9648"
Resident Evil: Welcome to Raccoon City,"Horror, Science Fiction, Action","27, 878, 28"
I Am Legend,"Drama, Science Fiction, Thriller","18, 878, 53"
The Harbinger,"Drama, Horror, Thriller, Mystery","18, 27, 53, 9648"
Trespass,"Action, Thriller, Crime","28, 53, 80"
Beauty and the Beast,"Family, Fantasy, Romance","10751, 14, 10749"
Taken,"Action, Thriller","28, 53"
Onward,"Family, Animation, Adventure, Comedy, Fantasy","10751, 16, 12, 35, 14"
Dumbo,"Animation, Family","16, 10751"
Prisoners,"Drama, Thriller, Crime","18, 53, 80"
The Legend of the Spirits,"Animation, Comedy, Family, Horror","16, 35, 10751, 27"
Amazonia: The Catherine Miles Story,"Adventure, Drama, Horror","12, 18, 27"
The Northman,"Action, Adventure, Fantasy","28, 12, 14"
Troy,"Adventure, History, War, Action","12, 36, 10752, 28"
The Wizard of Oz,"Adventure, Fantasy, Family","12, 14, 10751"
B&B Merry,"TV Movie, Comedy, Romance, Drama","10770, 35, 10749, 18"
Batman Begins,"Action, Crime, Drama","28, 80, 18"
The Great Arms Robbery,"Crime, Drama, Action","80, 18, 28"
Control Zeta,"Action, Science Fiction, Crime","28, 878, 80"
Stand by Me Doraemon,"Animation, Family, Science Fiction, Fantasy","16, 10751, 878, 14"
The Menu,"Comedy, Thriller, Horror","35, 53, 27"
Murder on the Orient Express,"Mystery, Drama, Crime","9648, 18, 80"
Palmer,Drama,18
The Santa Clause,"Fantasy, Drama, Comedy, Family","14, 18, 35, 10751"
13 Hours: The Secret Soldiers of Benghazi,"War, Action, History, Drama","10752, 28, 36, 18"
Susie Searches,"Comedy, Thriller, Mystery","35, 53, 9648"
¡Salta!,"Comedy, Family, Science Fiction, Drama","35, 10751, 878, 18"
The Hangover Part II,Comedy,35
Prey for the Devil,"Horror, Thriller","27, 53"
Skinamarink,"Horror, Mystery","27, 9648"
The Fate of the Furious,"Action, Crime, Thriller","28, 80, 53"
La Syndicaliste,"Thriller, Drama","53, 18"
Jupiter Ascending,"Science Fiction, Fantasy, Action","878, 14, 28"
Roald Dahl's Matilda the Musical,"Family, Comedy, Fantasy","10751, 35, 14"
Se7en,"Crime, Mystery, Thriller","80, 9648, 53"
The BFG,"Adventure, Family, Fantasy","12, 10751, 14"
Ice Age: Continental Drift,"Animation, Comedy, Adventure, Family","16, 35, 12, 10751"
Mortal Kombat Legends: Battle of the Realms,"Animation, Action, Fantasy","16, 28, 14"
Titane,"Drama, Thriller, Horror","18, 53, 27"
Totally Killer,"Comedy, Horror, Science Fiction","35, 27, 878"
DC League of Super-Pets,"Animation, Action, Family, Comedy, Science Fiction","16, 28, 10751, 35, 878"
All-Time High,"Comedy, Romance","35, 10749"
The Mummy,"Adventure, Action, Fantasy","12, 28, 14"
The Mask,"Romance, Comedy, Crime, Fantasy","10749, 35, 80, 14"
Predators,"Science Fiction, Action, Thriller","878, 28, 53"
American Sniper,"War, Action","10752, 28"
Shin Kamen Rider,"Action, Drama, Science Fiction","28, 18, 878"
Pacific Rim: Uprising,"Action, Fantasy, Science Fiction, Adventure","28, 14, 878, 12"
Monster High 2,"Family, Fantasy, Science Fiction, TV Movie","10751, 14, 878, 10770"
Sentinelle,"Action, Comedy, Crime","28, 35, 80"
Blacklight,"Action, Thriller","28, 53"
Mortal Kombat,"Action, Fantasy, Adventure","28, 14, 12"
Top Gun,"Drama, Action, Adventure","18, 28, 12"
Darkland: The Return,"Thriller, Action","53, 28"
The Shepherd,"Drama, Fantasy, Action","18, 14, 28"
Looper,"Action, Thriller, Science Fiction","28, 53, 878"
Geostorm,"Action, Science Fiction, Thriller","28, 878, 53"
Gravity,"Science Fiction, Thriller, Drama","878, 53, 18"
In Time,"Action, Thriller, Science Fiction","28, 53, 878"
300,"Action, Adventure, War","28, 12, 10752"
Bruce Almighty,"Fantasy, Comedy","14, 35"
Chestnut: Hero of Central Park,"Family, Comedy","10751, 35"
Alice in Wonderland,"Family, Fantasy, Adventure","10751, 14, 12"
Babylon,"Drama, Comedy","18, 35"
Dragon Ball Z: Wrath of the Dragon,"Animation, Action, Science Fiction","16, 28, 878"
The Enforcer,Action,28
Meet the Robinsons,"Animation, Comedy, Family","16, 35, 10751"
EXmas,"Romance, Comedy, TV Movie","10749, 35, 10770"
Groot's First Steps,"Animation, Family, Comedy, Science Fiction","16, 10751, 35, 878"
To Catch a Killer,Thriller,53
Blade,"Horror, Action","27, 28"
Sex Tape,Comedy,35
Home Sweet Home Alone,"Comedy, Crime, Family","35, 80, 10751"
The Terminator,"Action, Thriller, Science Fiction","28, 53, 878"
True Lies,"Action, Thriller","28, 53"
Ted,"Comedy, Fantasy","35, 14"
Pearl,"Horror, Drama, Thriller","27, 18, 53"
Smile,"Horror, Mystery, Thriller","27, 9648, 53"
Awareness,"Science Fiction, Mystery, Thriller, Action","878, 9648, 53, 28"
The School for Good and Evil,Fantasy,14
Mission: Impossible - Ghost Protocol,"Action, Thriller, Adventure","28, 53, 12"
Dark Phoenix,"Fantasy, Science Fiction, Action, Adventure","14, 878, 28, 12"
The Simpsons Movie,"Animation, Comedy, Family","16, 35, 10751"
My Neighbor Totoro,"Fantasy, Animation, Family","14, 16, 10751"
GoodFellas,"Drama, Crime","18, 80"
Night at the Museum: Secret of the Tomb,"Adventure, Comedy, Fantasy, Family","12, 35, 14, 10751"
X-Men: Apocalypse,"Action, Adventure, Science Fiction, Fantasy","28, 12, 878, 14"
Kingdom of Heaven,"Drama, Action, Adventure, History, War","18, 28, 12, 36, 10752"
The Exorcist,Horror,27
Terrifier,"Horror, Thriller","27, 53"
Kingdom of Heaven,"Drama, Action, Adventure, History, War","18, 28, 12, 36, 10752"
The Exorcist,Horror,27
Terrifier,"Horror, Thriller","27, 53"
Bihter: A Forbidden Passion,"Drama, Romance, History","18, 10749, 36"
Rise of the Planet of the Apes,"Thriller, Action, Drama, Science Fiction","53, 28, 18, 878"
Blue Giant,"Animation, Drama, Music","16, 18, 10402"
Focus,"Romance, Comedy, Crime","10749, 35, 80"
Prometheus,"Science Fiction, Adventure, Mystery","878, 12, 9648"
Warcraft,"Action, Adventure, Fantasy","28, 12, 14"
The Karate Kid,"Action, Adventure, Drama, Family","28, 12, 18, 10751"
Six Swedish Girls in Alps,"Romance, Comedy","10749, 35"
The Boat,Thriller,53
Barcelona Christmas Night,"Romance, Comedy, Drama","10749, 35, 18"
Jojo Rabbit,"Comedy, War, Drama","35, 10752, 18"
The Book of Wonders,Drama,18
The End of Sex,"Comedy, Romance, Drama","35, 10749, 18"
Cloud Atlas,"Drama, Science Fiction","18, 878"
The Devil Conspiracy,"Horror, Fantasy, Science Fiction, Thriller","27, 14, 878, 53"
The Little Mermaid,"Animation, Family, Fantasy","16, 10751, 14"
Mira,"Drama, Adventure, Science Fiction, Family","18, 12, 878, 10751"
Dampyr,"Horror, Fantasy, Action","27, 14, 28"
That Time I Got Reincarnated as a Slime the Movie: Scarlet Bond,"Animation, Fantasy, Adventure","16, 14, 12"
Pixels,"Action, Comedy, Science Fiction","28, 35, 878"
The King's Man,"Action, Adventure, Thriller","28, 12, 53"
Indiana Jones and the Last Crusade,"Adventure, Action","12, 28"
The Pursuit of Happyness,Drama,18
Casper,"Fantasy, Comedy, Family","14, 35, 10751"
Superbad,Comedy,35
Ice Age: Collision Course,"Adventure, Animation, Family, Comedy","12, 16, 10751, 35"
Triple Frontier,"Action, Thriller, Crime, Adventure","28, 53, 80, 12"
Frivolous Lola,"Comedy, Romance","35, 10749"
Roald Dahl's The Witches,"Family, Comedy, Fantasy","10751, 35, 14"
Godzilla,"Science Fiction, Action, Thriller","878, 28, 53"
Saw,"Horror, Mystery, Crime","27, 9648, 80"
Predestination,"Science Fiction, Thriller","878, 53"
Greenland,"Action, Thriller, Drama","28, 53, 18"
Underworld: Evolution,"Fantasy, Action, Thriller","14, 28, 53"
Hancock,"Fantasy, Action","14, 28"
Little Man,"Comedy, Crime","35, 80"
Megamind,"Animation, Action, Comedy, Family, Science Fiction","16, 28, 35, 10751, 878"
Jumanji: The Next Level,"Adventure, Comedy, Fantasy","12, 35, 14"
Vacation,Comedy,35
Kingsman: The Secret Service,"Crime, Comedy, Action, Adventure","80, 35, 28, 12"
Undisputed III: Redemption,"Action, Thriller","28, 53"
Dune: Part Two,"Science Fiction, Adventure","878, 12"
Ponyo,"Animation, Fantasy, Family","16, 14, 10751"
Slotherhouse,"Comedy, Horror, Thriller","35, 27, 53"
A Flintstone Christmas,"Animation, TV Movie, Comedy, Family","16, 10770, 35, 10751"
Grease,"Romance, Comedy","10749, 35"
Divergent,"Action, Adventure, Science Fiction","28, 12, 878"
Wild Card,"Thriller, Crime, Action","53, 80, 28"
Ghost Rider,"Thriller, Action, Fantasy","53, 28, 14"
Little Women,"Drama, Romance","18, 10749"
Saw V,"Horror, Thriller, Crime","27, 53, 80"
Heat,"Action, Crime, Drama","28, 80, 18"
Casino Royale,"Adventure, Action, Thriller","12, 28, 53"
Black Clover: Sword of the Wizard King,"Animation, Fantasy, Action, Adventure","16, 14, 28, 12"
The Interview,"Action, Comedy","28, 35"
Gridman Universe,"Animation, Action, Science Fiction","16, 28, 878"
Wrong Turn 2: Dead End,"Horror, Thriller","27, 53"
Wrong Turn 2: Dead End,"Horror, Thriller","27, 53"
Brother Bear,"Adventure, Animation, Family","12, 16, 10751"
The Holiday,"Comedy, Romance","35, 10749"
Bumblebee,"Action, Adventure, Science Fiction","28, 12, 878"
Wish Dragon,"Animation, Family, Comedy, Fantasy","16, 10751, 35, 14"
The Expendables,"Thriller, Adventure, Action","53, 12, 28"
Southpaw,"Action, Drama","28, 18"
What Happened to Monday,"Science Fiction, Thriller, Drama, Mystery, Action","878, 53, 18, 9648, 28"
Jigsaw,"Horror, Mystery, Thriller","27, 9648, 53"
Despicable Me 2,"Animation, Comedy, Family","16, 35, 10751"
GANTZ:O,"Science Fiction, Action, Animation","878, 28, 16"
Incredibles 2,"Action, Adventure, Animation, Family","28, 12, 16, 10751"
Lucy,"Action, Science Fiction","28, 878"
Birds of Prey (and the Fantabulous Emancipation of One Harley Quinn),"Action, Crime","28, 80"
Terminator Salvation,"Action, Science Fiction, Thriller","28, 878, 53"
Sing,"Animation, Comedy, Family, Music","16, 35, 10751, 10402"
Watchmen,"Action, Mystery, Science Fiction","28, 9648, 878"
Mob Land,"Action, Crime, Thriller","28, 80, 53"
It Follows,"Horror, Mystery","27, 9648"
National Lampoon's Vacation,"Comedy, Adventure","35, 12"
Arthur Christmas,"Drama, Animation, Family, Comedy","18, 16, 10751, 35"
Fantastic Beasts and Where to Find Them,"Fantasy, Adventure, Family","14, 12, 10751"
Splice,"Horror, Science Fiction, Thriller","27, 878, 53"
Scarygirl,"Animation, Adventure","16, 12"
Constantine,"Fantasy, Action, Horror","14, 28, 27"
The Lion King II: Simba's Pride,"Family, Adventure, Animation, Action","10751, 12, 16, 28"
Love and Love Not,"Comedy, Romance","35, 10749"
Saw 3D,"Horror, Crime","27, 80"
The Little Prince,"Adventure, Animation, Fantasy, Family","12, 16, 14, 10751"
American Reunion,Comedy,35
The Conjuring 2,"Horror, Thriller","27, 53"
X-Men: Days of Future Past,"Action, Adventure, Science Fiction","28, 12, 878"
Maid in Sweden,Drama,18
Wonder Woman 1984,"Action, Adventure, Fantasy","28, 12, 14"
Indiana Jones and the Temple of Doom,"Adventure, Action","12, 28"
Sinbad: Legend of the Seven Seas,"Family, Animation, Adventure, Comedy, Fantasy, Action","10751, 16, 12, 35, 14, 28"
Bambi,"Animation, Drama, Family","16, 18, 10751"
Limitless,"Thriller, Mystery, Science Fiction","53, 9648, 878"
The Siren,"Fantasy, Horror","14, 27"
Naruto Shippuden the Movie,"Animation, Action, Fantasy","16, 28, 14"
The Seven Deadly Sins: Grudge of Edinburgh Part 2,"Action, Adventure, Fantasy, Animation","28, 12, 14, 16"
Last Looks,"Action, Crime, Thriller","28, 80, 53"
